Library                               Size (B)      Time_ns
OpenSSL_1_1_1_AES128GCM                    512       169509
OpenSSL_1_1_1_AES128GCM                    512       159062
OpenSSL_1_1_1_AES128GCM                    512        47839
OpenSSL_1_1_1_AES128GCM                    512        51927
OpenSSL_1_1_1_AES128GCM                    512        45160
OpenSSL_1_1_1_AES128GCM                    512        35614
OpenSSL_1_1_1_AES128GCM                    512        37479
OpenSSL_1_1_1_AES128GCM                    512        37668
OpenSSL_1_1_1_AES128GCM                    512        33880
OpenSSL_1_1_1_AES128GCM                    512        49153
OpenSSL_1_1_1_AES128GCM                    512        36551
OpenSSL_1_1_1_AES128GCM                    512        33971
OpenSSL_1_1_1_AES128GCM                    512        34531
OpenSSL_1_1_1_AES128GCM                    512        34334
OpenSSL_1_1_1_AES128GCM                    512        35920
